"An error occurred while processing your payment. Please try again.","An error occurred while processing your payment. Please try again."
"Invalid payment response received.","Invalid payment response received."
"Order not found.","Order not found."
"Your payment was successful.","Your payment was successful."
"Payment failed","Payment failed"
"Payment failed: %1","Payment failed: %1"
"Invalid payment signature.","Invalid payment signature."
"Your payment is being processed. We will notify you when it completes.","Your payment is being processed. We will notify you when it completes."
"We can't create an invoice right now.","We can't create an invoice right now."
"Invoice #%1 created.","Invoice #%1 created."
"Payment successfully processed by Paydibs.","Payment successfully processed by Paydibs."
"Payment successfully processed by Paydibs. Transaction ID: %1","Payment successfully processed by Paydibs. Transaction ID: %1"
"Payment pending at Paydibs. Transaction ID: %1","Payment pending at Paydibs. Transaction ID: %1"
"Payment failed at Paydibs. Status: %1, Error: %2","Payment failed at Paydibs. Status: %1, Error: %2"
"Order Payment is empty.","Order Payment is empty."
"Payment method not correct.","Payment method not correct."
"Something went wrong while running the requery job.","Something went wrong while running the requery job."
"Manual requery is disabled.","Manual requery is disabled."
"Invalid or missing requery key.","Invalid or missing requery key."
"Successfully queried pending Paydibs orders","Successfully queried pending Paydibs orders"
